Actual_Rainfall,Predicted_Rainfall
225.24999999999997,243.06714
224.15000000000003,237.26643
233.71666666666664,231.41383
248.83888888888885,228.57632
239.58333333333334,230.30603
259.0777777777778,231.44604
214.6444444444445,235.87558
229.82222222222222,231.80743
216.89999999999998,228.60863
230.55000000000004,225.13405
230.91666666666663,223.92639
241.22777777777776,223.7335
211.51666666666668,224.9746
192.78888888888892,223.37082
234.7388888888889,218.44301
245.87222222222226,218.27103
292.0111111111111,221.33302
203.33888888888885,232.31216
251.48333333333338,230.23083
260.6944444444445,231.93697
270.4777777777778,236.67552
225.2833333333333,243.54132
256.26666666666665,240.91867
223.6777777777778,241.50829
239.81666666666666,236.96277
213.2444444444444,234.70131
193.8111111111111,228.69067
213.73888888888894,222.15668
234.94444444444446,218.3242
243.02777777777771,218.6375
223.18888888888893,221.7744
230.38888888888889,222.32188
230.61111111111111,222.68243
222.05000000000004,222.96034
232.68888888888893,222.47939
217.95000000000002,222.69353
221.22222222222223,221.81891
246.18888888888887,220.79338
293.54999999999995,222.8993
253.0888888888889,234.71535
221.1888888888889,241.72682
229.84444444444443,238.45543
210.8222222222222,234.06464
199.63888888888886,226.80315
190.19444444444446,221.4962
218.31666666666666,215.2317
245.98333333333326,213.39673
219.86666666666665,216.85039
250.97777777777776,218.35687
230.28888888888892,222.27968
263.8555555555556,223.74686
253.8666666666666,229.24326
220.91666666666663,235.0022
209.07777777777775,232.80219
232.3722222222222,225.98915
238.01666666666662,224.66368
203.92222222222222,225.13072
272.77777777777777,222.49641
275.69444444444446,226.39955
317.36666666666656,237.04726
246.75,254.75592
232.40555555555562,257.27744
273.3222222222222,251.9645
272.3611111111111,252.62634
237.6888888888888,255.40816
287.28888888888895,251.81065
298.98333333333335,256.1563
257.22222222222223,264.27493
297.8999999999999,264.34985
252.3388888888889,269.70966
260.7777777777778,266.36835
278.3555555555556,262.8927
311.55555555555554,263.12213
288.8833333333333,271.71143
228.77777777777777,276.96704
275.1666666666667,267.2935
244.81111111111113,264.2906
271.07222222222225,258.66827
256.2944444444445,257.78616
271.90555555555557,255.97072
294.72777777777776,257.2672
270.6611111111111,263.32788
256.49999999999994,265.41946
251.0055555555556,263.107
265.5222222222222,258.613
279.65555555555557,256.96204
272.77777777777777,259.53702
276.0388888888889,261.80972
319.01666666666665,263.7018
328.9055555555555,274.16107
238.49444444444447,287.52435
266.5944444444445,280.43692
267.2888888888889,273.75418
259.4666666666666,268.8641
252.90555555555562,264.2605
278.47222222222223,259.56577
304.45,260.50266
264.1000000000001,268.07736
263.3611111111111,268.46725
297.4611111111111,266.01843
278.94444444444446,270.1503
240.11111111111111,271.6919
315.6166666666667,264.25598
267.88888888888886,270.97827
287.2388888888888,271.30106
254.34999999999997,273.2308
267.74999999999994,268.7168
262.6055555555556,265.67834
253.7444444444444,262.9032
317.82222222222225,258.86172
280.4,267.63
275.6111111111111,272.06015
315.9444444444445,272.55682
286.1722222222222,280.2292
310.4333333333332,282.844
322.3111111111112,287.71838
273.8833333333334,295.39835
343.8611111111111,292.15045
326.85,300.87796
274.52777777777777,308.1197
304.0055555555556,302.48203
231.68888888888887,300.15466
277.7055555555556,283.90967
265.9944444444445,276.6254
276.1666666666667,271.29715
293.80555555555554,269.2172
288.41666666666663,272.47958
279.5277777777778,275.43872
286.9,275.751
290.7055555555555,276.92294
284.9111111111111,278.4392
332.1,278.85138
236.64444444444447,288.8594
311.1222222222222,280.01166
315.15555555555557,282.49957
296.73333333333335,288.88483
314.1666666666667,291.50476
307.48333333333335,295.8821
277.36111111111114,298.53363
295.3555555555556,293.92624
287.5388888888889,291.7305
253.5,289.16693
282.02777777777777,279.9721
266.1666666666667,276.3115
280.8166666666667,271.71973
262.7444444444444,271.26712
251.97222222222223,267.88123
314.14444444444445,262.2452
310.83888888888885,269.37933
283.7388888888888,278.89172
303.7388888888889,281.49826
258.03333333333336,285.5819
284.8944444444445,279.8491
307.6166666666667,277.6782
296.5388888888889,282.13327
302.66666666666663,285.32312
312.31666666666666,288.8205
265.55555555555554,293.61993
237.18333333333334,288.3387
238.39999999999995,275.09265
300.2388888888888,261.8203
331.2777777777778,264.0188
283.19444444444446,277.52792
316.67222222222216,281.71747
301.6555555555556,289.05948
304.6777777777777,292.6789
318.28888888888895,294.9438
292.94444444444446,299.36108
258.08888888888885,298.2928
296.9444444444445,288.4828
309.2444444444444,286.19406
297.3611111111111,289.5258
647.0388888888888,291.39243
660.0944444444444,368.07043
650.9277777777778,453.82736
627.3833333333332,518.82275
562.7666666666667,555.9931
557.2277777777778,561.72504
717.7888888888889,559.413
547.3833333333334,595.9238
614.411111111111,587.73157
580.8777777777777,591.776
560.6222222222223,588.0855
681.438888888889,579.5527
541.4055555555556,602.39636
589.5277777777778,588.16364
610.4833333333333,584.12274
597.3333333333333,587.60394
557.2944444444445,588.3883
523.5333333333333,579.0459
607.15,562.26447
657.1888888888891,568.1272
560.0444444444444,589.55133
651.3833333333333,583.64044
687.6222222222221,597.47266
811.2833333333333,619.49677
617.3,667.638
601.2333333333333,656.85803
606.1722222222223,637.5361
524.2333333333333,623.12665
667.4388888888888,593.6507
610.2222222222222,605.5012
650.5333333333333,606.5994
674.5055555555556,615.6904
786.2,629.01105
509.2277777777777,667.85754
523.8611111111111,628.99023
614.7611111111112,594.2602
577.3,590.40875
546.6833333333333,584.64984
597.3055555555557,572.9554
627.4055555555556,575.5183
626.35,587.38574
616.3722222222221,596.64966
